Date,Open,High,Low,Close,Adj Close,Volume
1997-01-27,36.179493,37.822659,34.655830,37.494026,22.272034,109345074
1997-02-03,37.613529,37.613529,34.775333,35.552101,21.118496,90800331
1997-02-10,35.552101,35.552101,33.729687,34.655830,20.634651,95362565
1997-02-17,34.775333,34.864964,32.773663,32.893166,19.585129,66688776
1997-02-24,32.893166,35.372849,32.863289,34.357075,20.456764,71083232
1997-03-03,34.357075,35.611855,34.058315,34.596081,20.599083,61590573
1997-03-10,34.596081,35.791107,33.968689,34.327198,20.438982,55519587
1997-03-17,34.118069,34.207695,31.578632,31.668261,18.855804,96706466
1997-03-24,31.698135,33.849186,31.070745,32.743786,19.496197,61447898
1997-03-31,32.803535,33.341301,30.383604,30.891491,18.393307,91966412
1997-04-07,31.250000,32.982792,31.190248,31.877390,18.980324,64614348
1997-04-14,32.146271,33.490681,31.847513,33.401051,19.887535,56107022
1997-04-21,33.371178,37.523903,32.206024,36.030113,21.452925,96065058
1997-04-28,35.761234,38.928059,35.641731,38.748806,23.071682,74163911
1997-05-05,38.928059,40.451721,38.748806,40.033463,23.836584,71007082
1997-05-12,40.212715,42.333893,40.182838,40.630974,24.250954,79980924
1997-05-19,40.601097,42.393642,39.884083,41.437618,24.732420,51308392
1997-05-26,41.586998,43.917305,40.391968,41.347992,24.678926,58461777
1997-06-02,41.945507,42.005257,39.077438,40.929733,24.429276,44004802
1997-06-09,41.108986,42.901531,40.869980,42.543022,25.392183,38941534
1997-06-16,42.423519,43.947182,42.184513,42.961281,25.641823,40586683
1997-06-23,42.961281,44.813576,41.885754,43.618546,26.034130,44388684
1997-06-30,44.096558,45.470840,43.080784,45.321465,27.050535,24841873
1997-07-07,45.411091,46.546368,44.933079,45.769596,27.318001,35287229
1997-07-14,45.709846,50.310707,44.634319,49.952198,29.814434,66578737
1997-07-21,50.310707,51.834370,47.502392,51.147228,30.527683,66265564
1997-07-28,50.908222,51.147228,49.115681,50.071701,29.885742,40513463
1997-08-04,49.982075,52.312382,49.713192,50.310707,30.028381,35487851
1997-08-11,50.071701,50.669216,47.741398,47.771271,28.565666,41855481
1997-08-18,48.279160,51.834370,47.651768,50.848469,30.405737,46024210
1997-08-25,50.848469,51.147228,48.025215,48.458412,28.976561,31082518
1997-09-01,48.458412,50.310707,48.398663,49.533939,29.619705,27720046
1997-09-08,49.683315,49.862572,45.948853,46.725620,27.940413,54605802
1997-09-15,46.904877,48.398663,45.948853,47.442638,28.369171,37941349
1997-09-22,48.757172,50.250957,48.368786,49.055927,29.333862,39192573
1997-09-29,48.936424,51.356358,48.757172,49.862572,29.816208,40448610
1997-10-06,50.221081,51.206978,49.772945,50.161327,29.994858,30281491
1997-10-13,50.430210,50.430210,45.530594,45.620220,27.279428,35466512
1997-10-20,45.799473,50.639339,45.172085,46.845123,28.011873,73148872
1997-10-27,46.486614,48.876675,42.363766,47.084129,28.154791,80808939
1997-11-03,47.382889,49.683315,46.964626,47.562141,28.440626,39089019
1997-11-10,48.159657,48.787045,45.530594,48.518166,29.068897,43251472
1997-11-17,49.235184,50.848469,48.637669,50.460087,30.232346,40702370
1997-11-24,50.161327,52.551388,49.235184,52.342255,31.360010,31210757
1997-12-01,52.581261,54.164677,52.043499,53.656788,32.147591,44578637
1997-12-08,53.955544,54.254303,46.068356,47.980404,28.746685,58450270
1997-12-15,48.518166,50.430210,46.367111,48.816921,29.247864,56126269
1997-12-22,50.071701,50.071701,47.143883,48.607792,29.122576,20818747
1997-12-29,49.175430,50.549713,49.115681,50.489964,30.250256,23507386
1998-01-05,50.460087,51.236855,47.502392,47.831024,28.657175,50465316
1998-01-12,46.964626,50.280830,46.606117,50.191204,30.071243,51487048
1998-01-19,50.280830,51.804493,47.084129,47.412762,28.406578,61449153
1998-01-26,47.442638,47.771271,45.709846,47.203632,28.281296,46722100
1998-02-02,47.801147,48.398663,46.725620,46.845123,28.066496,40096945
1998-02-09,46.904877,49.533939,46.606117,48.936424,29.378473,45377782
1998-02-16,49.265057,50.011951,48.428535,49.055927,29.450218,31613468
1998-02-23,49.444313,50.609467,48.637669,49.922321,29.970360,31811998
1998-03-02,49.802818,49.982075,46.904877,46.904877,28.158859,44004173
1998-03-09,46.426865,48.338909,45.829350,47.621895,28.589325,41655276
1998-03-16,47.651768,49.354687,47.442638,48.787045,29.288801,36178629
1998-03-23,48.548038,50.997849,48.458412,49.892448,29.952425,37516044
1998-03-30,49.772945,50.997849,48.996178,50.041824,30.042091,28868554
1998-04-06,50.788719,50.908222,49.504063,50.848469,30.526354,25367801
1998-04-13,50.938099,52.581261,49.802818,51.505737,30.920950,36729662
1998-04-20,51.595364,57.361378,51.236855,56.106598,33.683025,68006109
1998-04-27,55.568832,56.644360,54.672562,55.867592,33.539528,39585870
1998-05-04,55.987095,57.361378,55.509083,57.361378,34.436314,31533553
1998-05-11,57.451004,61.812859,56.076721,59.721558,35.920303,59906513
1998-05-18,59.631931,60.707458,57.899139,58.287525,35.057785,32120149
1998-05-25,58.496655,58.795410,56.106598,56.166348,33.781967,29962669
1998-06-01,56.106598,56.883366,54.433556,56.823612,34.177288,36906855
1998-06-08,56.763863,57.361378,54.493309,55.568832,33.422596,28715837
1998-06-15,54.792065,55.180450,50.669216,50.728966,30.511595,58084588
